AfetacaoServico               | ServiceAssignement
AfetarPrestadoresTask         | AssignementTask
AlgoritomoDeAfetacao1         | AssignementAlgoritm1
AreaGeografica                | GeographicArea
AtuaEm                        | Location
Candidatura                   | SPApplication
Categoria                     | Category
Cliente                       | Client
CodigoPostal                  | PostalCode
DescricaoServicoPedido        | ServiceRequestDescription
DisponbilidadeDiaria          | Availability
DocComprovativo               | SupportingDocumentation
Empresa                       | Company
EnderecoPostal                | Address
HabilitacaoAcademica          | AcademicCompetence
HabilitacaoProfissional       | ProfessionalCompetence
IAlgoritmoDeAfetacao          | IAssignmentAlgoritm
ListaAreaGeoPS                | SPGeographicAreaList
ListaDisponibilidadeDiaria    | SPAvailabilityList
OrdemServico                  | ServiceOrder
OutroCusto                    | OtherCost
PedidoPrestacaoServico        | ServiceRequest
PreferenciaHorario            | SchedulePreference
PrestadorServicos             | ServiceProvider
RegistoAfetatacaoServico      | ServiceAssignementRegistry
RegistoAreaGeografica         | GeographicAreaRegistry
RegistoCategoria              | CategoryRegistry
RegistoCliente                | ClientRegistry
RegistoOrdernsServico         | ServiceOrderRegistry
RegistoPedidoPrestacaoServico | ServiceRequestRegistry
RegistoPrestadorServicos      | ServiceProviderRegistry
RegistoServico                | ServiceRegistry
RegistoTiposServico           | ServiceTypeRegistry
ServicoExpansivel             | ExtendableService
ServicoExterno1               | ExternalService1
ServicoExterno                | IExternalService
ServicoFixo                   | FixedService
ServicoLimitado               | LimitedService
Servico                       | Service
Timer                         | Timer
TipoServico                   | ServiceType
